CODE,Length,Width,Plant Spacing,Row Spacing,Type,Moisture,Temperature,Plant Height,Cap Cover,LAI,DIFN,MTA,SEM,SMP,SEL,Chloropyll  Value (mg/m2)
P12S1-3,10,10,4.32,3.52,Clay,0.178,33,2.54,45°,2.43,0.157,39.6,3.42,4,0.578,59.4
P12S2-1,10,10,4.56,3.42,Clay,0.156,32.9,2.6,45°,2.57,0.154,56.5,2.38,4,0.563,66.8
P12S2-2,10,10,4.56,3.42,Clay,0.142,32.6,2.46,45°,4.02,0.0572,48.6,9.89,4,0.326,89.8
P12S2-3,10,10,4.56,3.42,Clay,0.23,32.9,2.58,45°,3.35,0.0876,54.9,6.3,4,0.333,79.8
P12S3-1,10,10,3.55,3.38,Clay,0.121,33.2,1.93,45°,1.72,0.28,0,37.7,4,0.295,78
P12S3-2,10,10,3.55,3.38,Clay,0.186,33,2.05,45°,1.91,0.235,59.5,5.96,4,0.413,69.6
P12S3-3,10,10,3.55,3.38,Clay,0.279,32.3,2.15,45°,1.44,0.352,40.2,11.1,4,0.221,66.4
P13S1-1,,,,,,,,,,,,,,,,110
P13S1-2,,,,,,,,,,,,,,,,45
P13S1-3,,,,,,,,,,,,,,,,21
P13S2-1,,,,,,,,,,,,,,,,
P13S2-2,,,,,,,,,,,,,,,,
P13S2-3,,,,,,,,,,,,,,,,
P13S3-1,,,,,,,,,,,,,,,,
P13S3-2,,,,,,,,,,,,,,,,
P13S3-3,,,,,,,,,,,,,,,,
P14S1-1,10,10,4.4,4.02,Clay,0.095,31.9,2.05,45°,1.66,0.291,60.7,2.16,4,0.347,
P14S1-2,10,10,4.4,4.02,Clay,0.201,32.9,2.21,45°,1.43,0.327,0,19.4,4,0.319,
P14S1-3,10,10,4.4,4.02,Clay,0.082,33.2,2.8,45°,0.757,0.556,0,28.2,4,0.0793,
P14S2-1,10,10,4.17,4.03,Clay,0.253,33,2.05,45°,1.05,0.438,43.2,8.45,4,0.894,
P14S2-2,10,10,4.17,4.03,Clay,0.1,33.5,2.19,45°,1.41,0.0402,41.9,9.64,4,0.218,
P14S2-3,10,10,4.17,4.03,Clay,0.113,34.5,2.02,45°,1.72,0.271,0,20.6,4,0.339,
P14S3-1,10,10,4.27,3.92,Clay,0.118,34.3,1.99,,,,,,,,
P14S3-2,10,10,4.27,3.92,Clay,0.161,34.2,2.13,,,,,,,,
P14S3-3,10,10,4.27,3.92,Clay,0.18,34.2,2.11,,,,,,,,
P15S1-1,10,10,3.6,3.1,Clay,0.128,32.3,2.13,,,,,,,,
P15S1-2,10,10,3.6,3.1,Clay,0.158,32.3,2.39,,,,,,,,
P15S1-3,10,10,3.6,3.1,Clay,0.173,32.8,2.22,,,,,,,,
P15S2-1,10,10,4.56,3.8,Clay,0.08,32.5,2.02,,,,,,,,
P15S2-2,10,10,4.56,3.8,Clay,0.176,32.4,2.24,,,,,,,,
P15S2-3,10,10,4.56,3.8,Clay,0.17,32.3,2.15,,,,,,,,
P15S3-1,10,10,4.17,3.38,Clay,0.111,32.3,2.05,,,,,,,,
P15S3-2,10,10,4.17,3.38,Clay,0.148,32.9,2.17,,,,,,,,
P15S3-3,10,10,4.17,3.38,Clay,0.17,32.9,2.17,,,,,,,,
P16S1-1,10,10,3.53,5.8,Clay,0.254,32.5,2.06,,,,,,,,
P16S1-2,10,10,3.53,5.8,Clay,0.176,32.3,2.36,,,,,,,,
P16S1-3,10,10,3.53,5.8,Clay,0.268,31.5,2.42,,,,,,,,
P16S2-1,10,10,3.4,5.83,Clay,0.191,31.5,1.93,,,,,,,,
P16S2-2,10,10,3.4,5.83,Clay,0.115,31.4,2.38,,,,,,,,
P16S2-3,10,10,3.4,5.83,Clay,0.191,30.7,2.37,,,,,,,,
P16S3-1,10,10,3.45,5.6,Clay,0.118,30.6,2.09,,,,,,,,
P16S3-2,10,10,3.45,5.6,Clay,0.103,30.7,2.34,,,,,,,,
P16S3-3,10,10,3.45,5.6,Clay,0.212,30.9,2.28,,,,,,,,
P17S1-1,10,10,3.9,3.65,Clay,0.159,31.8,2.24,,,,,,,,
P17S1-2,10,10,3.9,3.65,Clay,0.077,31.4,1.6,,,,,,,,
P17S1-3,10,10,3.9,3.65,Clay,0.281,31.4,2.17,,,,,,,,
P17S2-1,10,10,3.95,3.84,Clay,0.125,31.2,1.76,,,,,,,,
P17S2-2,10,10,3.95,3.84,Clay,0.178,31.5,2.17,,,,,,,,
P17S2-3,10,10,3.95,3.84,Clay,0.137,31.2,1.59,,,,,,,,
P17S3-1,10,10,4.75,3.4,Clay,0.091,31,2.16,,,,,,,,
P17S3-2,10,10,4.75,3.4,Clay,0.073,30.9,2.36,,,,,,,,
P17S3-3,10,10,4.75,3.4,Clay,0.15,30.9,2.15,,,,,,,,
P18S1-1,,,,,,,,,,,,,,,,
P18S1-2,,,,,,,,,,,,,,,,
P18S1-3,,,,,,,,,,,,,,,,
P18S2-1,,,,,,,,,,,,,,,,
P18S2-2,,,,,,,,,,,,,,,,
P18S2-3,,,,,,,,,,,,,,,,
P18S3-1,,,,,,,,,,,,,,,,
P18S3-2,,,,,,,,,,,,,,,,
P18S3-3,,,,,,,,,,,,,,,,
P19S1-1,,,,,,,,,,,,,,,,
P19S1-2,,,,,,,,,,,,,,,,
P19S1-3,,,,,,,,,,,,,,,,
P19S2-1,,,,,,,,,,,,,,,,
P19S2-2,,,,,,,,,,,,,,,,
P19S2-3,,,,,,,,,,,,,,,,
P19S3-1,,,,,,,,,,,,,,,,
P19S3-2,,,,,,,,,,,,,,,,
P19S3-3,,,,,,,,,,,,,,,,
TOMS1-1,,,,,,,,,45°,0.697,0.615,73.1,9.47,4,0.215,
TOMS1-2,,,,,,,,,45°,4.09,6.0428,48.7,5.51,4,0.647,
TOMS1-3,,,,,,,,,45°,3.4,0.0823,56.9,7.28,4,0.494,
PEP1-1,,,,,,,,,45°,0.394,0.743,22.6,26.6,4,0.201,
PEP1-2,,,,,,,,,45°,0.678,0.604,75.2,9.04,4,0.144,
PEP2-1,,,,,,,,,45°,0.13,0.905,90,0,4,0.0671,
PEP2-2,,,,,,,,,45°,0.362,0.756,27.6,27.5,4,0.223,
PEP2-3,,,,,,,,,45°,1.1,0.429,57.6,10.6,4,0.508,
PEP3-1,,,,,,,,,45°,1.3,0.34,51.8,9.09,4,0.144,
PEP3-2,,,,,,,,,45°,0.616,0.626,72.4,7.99,4,0.159,
PEP3-3,,,,,,,,,45°,0.645,0.598,0,36.5,4,0.46,
tobacco1,,,,,,,,,,,,,,,,110
tobacco2,,,,,,,,,,,,,,,,45
tobacco3,,,,,,,,,,,,,,,,21
